Task,Method,Return,Deadline Hit Rate,Success Rate,Inconsistency
Pendulum,Full,-1068.9750 ± 228.9945,0.1453 ± 0.0625,0%,–
Pendulum,SWI,-281.2832 ± 136.9768,0.9949 ± 0.0011,80%,–
Pendulum,MMS,-256.9237 ± 120.6253,0.9731 ± 0.0216,88%,0.2456 ± 0.1332
Pendulum,DTRL-On,-159.6985 ± 76.6918,0.9362 ± 0.0208,100%,0.0969 ± 0.1163
Pendulum,DTRL-Off,-174.3879 ± 89.5566,0.8306 ± 0.0580,97%,0.0541 ± 0.0706
Semicircle-Wide,Full,5.2171 ± 9.0441,0.3978 ± 0.1225,60%,–
Semicircle-Wide,SWI,9.3000 ± 0.0237,0.9845 ± 0.0160,100%,–
Semicircle-Wide,MMS,9.5202 ± 0.2365,0.9389 ± 0.0294,97%,0.3776 ± 0.0965
Semicircle-Wide,DTRL-On,10.1745 ± 0.0034,0.9493 ± 0.0234,100%,0.1578 ± 0.0609
Semicircle-Wide,DTRL-Off,9.9864 ± 0.0101,0.9223 ± 0.0465,100%,0.1489 ± 0.0855
Semicircle-Narrow,Full,-24.4409 ± 32.8567,0.2611 ± 0.0818,15%,–
Semicircle-Narrow,SWI,6.1282 ± 1.1198,0.9724 ± 0.0202,1%,–
Semicircle-Narrow,MMS,6.5561 ± 2.0046,0.8956 ± 0.0409,20%,0.2538 ± 0.1027
Semicircle-Narrow,DTRL-On,7.4655 ± 0.6379,0.9165 ± 0.0356,98%,0.3245 ± 0.0868
Semicircle-Narrow,DTRL-Off,9.9993 ± 0.0059,0.8626 ± 0.0652,100%,0.0831 ± 0.0491
Unitree Go2 Sim,Full,-0.1318 ± 0.1326,0.1796 ± 0.1581,0%,–
Unitree Go2 Sim,SWI,19.7569 ± 0.0308,0.9866 ± 0.0045,0%,–
Unitree Go2 Sim,MMS,19.5362 ± 2.8120,0.9676 ± 0.0522,64%,0.1074 ± 0.0169
Unitree Go2 Sim,DTRL-On,19.5122 ± 2.6734,0.9642 ± 0.0778,94%,0.1039 ± 0.0158
Unitree Go2 Sim,DTRL-Off,19.2044 ± 2.6937,0.8485 ± 0.1258,87%,0.0172 ± 0.0035
